供应商ID,基线排放,配合度得分,行业类型,财务能力,技术采用水平,监测就绪度,成本敏感度,自我激励度,象限分类,优先级,建议策略
SUP_D_1860,5077.113190775642,4,Accessories,0.47371578374259077,0.1641765556922642,0.42616619264754957,0.6832373608642045,0.34127787446326,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_353,5007.0135982369475,4,Accessories,0.7088192595581745,0.27262094000102155,0.25866132838832,0.8577607578073378,0.3207189225704259,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1333,7757.911674372148,6,Accessories,0.20533029295579686,0.27537639735052666,0.3205161642426601,0.6119166788353223,0.3337370592701061,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_905,5567.634405268643,5,Small Parts,0.6959797284338589,0.1562773356461437,0.48590086469972826,0.9277899388299102,0.10019451494873666,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1289,4975.539612999448,3,Accessories,0.28805044874778507,0.1749378425815041,0.33568676930626873,0.7303252449774494,0.2501899733460846,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1273,5093.268919634556,4,Accessories,0.44791124812497457,0.3178412149229226,0.2552379152881625,0.9485443143958975,0.2973890803834224,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_938,7272.854576965412,3,Accessories,0.7372190439623358,0.16444580941764866,0.3436808932094132,0.8424187662333379,0.31991820206509525,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1731,1356.1651418151023,2,Accessories,0.22469879959239086,0.25930170011852505,0.23975092457428238,0.6761950929340074,0.25950439469509523,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_065,4875.0558046059705,3,Finishing,0.6221911576247501,0.34306295670980375,0.33807422882425664,0.6008013380712127,0.2937352525910774,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1323,6506.547987455195,3,Finishing,0.6062930460476179,0.38158184986872995,0.3449967515427861,0.71772062549964,0.2829733111402018,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_056,4212.4104287683795,6,Finishing,0.6455804523698766,0.35701921603059206,0.2862337886503755,0.6090026828879493,0.34068236964163356,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1292,4880.793163658345,3,Accessories,0.7921943356009123,0.23773708511906425,0.2884595204658965,0.8094644540190289,0.1808867274304558,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1118,2894.425065896023,6,Finishing,0.5153120531007325,0.21914183391987954,0.22861921942943014,0.839233604607673,0.3788698028899523,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_584,7421.363707861733,4,Accessories,0.7667818154657584,0.26633790999719903,0.5462535792901797,0.7828770557294509,0.34030753316491374,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_374,2103.281540374998,3,Finishing,0.6015554549121767,0.26450945271400034,0.2250766891840538,0.9275329157195404,0.32166131794402164,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_275,3755.4131978241976,5,Accessories,0.2315037711786777,0.32705291292386457,0.34120593172492764,0.9317901230191744,0.3645970616400364,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_746,3331.659127074465,5,Finishing,0.6653605358604635,0.26243498816646726,0.31560331163850963,0.9008999749958007,0.2596717061965311,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_128,1723.8207740578614,4,Accessories,0.39726273863949485,0.35537770785232514,0.23386802870621967,0.7968872778103062,0.1525549220026347,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1646,3026.0079525564547,6,Packaging,0.5485493291479735,0.30543427553270364,0.2541481839151372,0.7000337792854755,0.31151368694455683,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1852,4501.4675451934645,3,Finishing,0.6246410465086418,0.1406190435114873,0.2583052800959342,0.8398438233790275,0.11598288336614902,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_674,5166.489882893602,6,Packaging,0.4814543580755757,0.24039788991318836,0.20210404931349324,0.792666644418075,0.15064656168026708,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1664,7421.769124862995,4,Small Parts,0.35617862623133967,0.12276965229680716,0.2797074464260775,0.6053955930993005,0.30018647851930713,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1981,3647.4036610677676,5,Packaging,0.39048281044705374,0.27086621086505264,0.23125970187828432,0.8529116959330837,0.16147186471341415,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1083,6903.260200333853,4,Accessories,0.8700785339218524,0.2732324927333888,0.4714442335073326,0.7316677140105705,0.3584167381310684,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1922,4340.630369830576,5,Finishing,0.7020438148163071,0.1020987825428119,0.2717193707369684,0.7341527295555632,0.3453747630786268,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_099,7733.283651846602,3,Accessories,0.87908105004779,0.10307360811504385,0.37302780662834556,0.7335479187605071,0.165904770328533,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1179,2458.655390045105,4,Packaging,0.6626547556870032,0.21757426219633352,0.35226950585352623,0.6283205938665822,0.38006174656021263,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_964,7665.748010919783,6,Accessories,0.21084449995168963,0.1482306113807782,0.3012833673966771,0.8942170519299693,0.20449627605016138,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_792,3223.449440544932,6,Small Parts,0.2246087180690006,0.15305466043211763,0.46091635413098997,0.6918307495971849,0.3823977210599654,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_029,5781.342672697182,4,Packaging,0.2553924207904545,0.3699078255088762,0.5746958599540746,0.7223871270570583,0.27634082713549135,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_628,4888.231970964347,5,Accessories,0.864486873938872,0.11468010865775295,0.32805901785899877,0.9125014847223258,0.3193299020471238,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_944,4149.015099608883,2,Accessories,0.4160757267568675,0.27918426123264517,0.2739889147039884,0.6203577778081333,0.17008447680216274,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_572,4378.0075601110575,4,Packaging,0.4924080514764475,0.12269783878752019,0.329010126060513,0.9356959960146736,0.1826385543594974,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_907,1774.8445182073128,5,Accessories,0.7513854133663374,0.34866366756288547,0.5251328078932612,0.7573086180000606,0.14999803887008137,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1080,2709.435005361218,3,Packaging,0.5608046604004082,0.16314792693151173,0.5607859880193887,0.7749562840210549,0.16249198749923266,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_450,1296.4538610611696,6,Packaging,0.8595270183502319,0.17197843982395192,0.5349854519908794,0.7447352944983995,0.19999202405989383,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1609,4027.609152696563,2,Small Parts,0.7375096058666569,0.14871103115388862,0.5392083244585052,0.9416358777456064,0.3565989171529555,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1290,4232.7253801482375,6,Packaging,0.41365152074229034,0.3228586662547828,0.4774021052171046,0.9091988873892256,0.20207406751721096,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1078,5425.4175008040365,6,Accessories,0.702661074606326,0.3935364491435513,0.250490169523585,0.749985366058379,0.1305888201549712,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_254,2656.636540983068,3,Accessories,0.7777778102142531,0.26131179551612016,0.389674135826784,0.8464028049556929,0.14812357218487826,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_124,1291.2992170332473,5,Accessories,0.8019345117035841,0.18725096510380854,0.5817868117390372,0.9268724255236271,0.24736310345397514,IV-观察区,低,基础管理-自动监测-简化要求
